,rank,1_day_rolling_avg_floor_price,rw623-hyaaa-aaaah-qctcq-cai,ugdkf-taaaa-aaaak-acoia-cai,4ggk4-mqaaa-aaaae-qad6q-cai,skjpp-haaaa-aaaae-qac7q-cai,pk6rk-6aaaa-aaaae-qaazq-cai,dhiaa-ryaaa-aaaae-qabva-cai,bxdf4-baaaa-aaaah-qaruq-cai,3mttv-dqaaa-aaaah-qcn6q-cai,oeee4-qaaaa-aaaak-qaaeq-cai,times_above_floor
46102,0,3300.0,0,0,1,0,0,0,0,0,0,1.0
46103,0,5500.0,0,0,1,0,0,0,0,0,0,1.2
46104,0,3300.0,0,0,1,0,0,0,0,0,0,1.0
46105,0,5500.0,0,0,1,0,0,0,0,0,0,1.2
46106,8,2500.0,0,0,1,0,0,0,0,0,0,2.84
46107,8,2500.0,0,0,1,0,0,0,0,0,0,2.84
46108,9,3400.0,0,0,1,0,0,0,0,0,0,1.0
46109,9,3400.0,0,0,1,0,0,0,0,0,0,1.0
46110,11,2500.0,0,0,1,0,0,0,0,0,0,1.0
46111,11,2500.0,0,0,1,0,0,0,0,0,0,1.0
46112,14,2500.0,0,0,1,0,0,0,0,0,0,2.64
46113,14,2500.0,0,0,1,0,0,0,0,0,0,2.64
46114,17,2000.0,0,0,1,0,0,0,0,0,0,1.5
46115,17,2000.0,0,0,1,0,0,0,0,0,0,1.5
46116,23,4900.0,0,0,1,0,0,0,0,0,0,1.1224489795918366
46117,23,4900.0,0,0,1,0,0,0,0,0,0,1.1224489795918366
46118,24,4999.0,0,0,1,0,0,0,0,0,0,1.0002000400080016
46119,24,2500.0,0,0,1,0,0,0,0,0,0,1.2
46120,24,4999.0,0,0,1,0,0,0,0,0,0,1.0002000400080016
46121,24,2500.0,0,0,1,0,0,0,0,0,0,1.2
46122,26,2100.0,0,0,1,0,0,0,0,0,0,1.0
46123,26,2100.0,0,0,1,0,0,0,0,0,0,1.0
46124,29,4700.0,0,0,1,0,0,0,0,0,0,1.0
46125,29,4700.0,0,0,1,0,0,0,0,0,0,1.0
46126,36,4500.0,0,0,1,0,0,0,0,0,0,1.0862222222222222
46127,36,4500.0,0,0,1,0,0,0,0,0,0,1.0862222222222222
46128,41,5000.0,0,0,1,0,0,0,0,0,0,1.4994
46129,41,5500.0,0,0,1,0,0,0,0,0,0,1.9090909090909092
46130,41,5000.0,0,0,1,0,0,0,0,0,0,1.4994
46131,41,5500.0,0,0,1,0,0,0,0,0,0,1.9090909090909092
46132,43,2500.0,0,0,1,0,0,0,0,0,0,1.0
46133,43,2500.0,0,0,1,0,0,0,0,0,0,1.0
46134,45,5500.0,0,0,1,0,0,0,0,0,0,1.3909090909090909
46135,45,5500.0,0,0,1,0,0,0,0,0,0,1.3909090909090909
46136,47,3850.0,0,0,1,0,0,0,0,0,0,1.0363636363636364
46137,47,2500.0,0,0,1,0,0,0,0,0,0,1.4
46138,47,3850.0,0,0,1,0,0,0,0,0,0,1.0363636363636364
46139,47,2500.0,0,0,1,0,0,0,0,0,0,1.4
46140,51,2500.0,0,0,1,0,0,0,0,0,0,1.0
46141,51,2500.0,0,0,1,0,0,0,0,0,0,1.0
46142,53,2500.0,0,0,1,0,0,0,0,0,0,1.0
46143,53,2500.0,0,0,1,0,0,0,0,0,0,1.0
46144,55,3500.0,0,0,1,0,0,0,0,0,0,1.1428571428571428
46145,55,3500.0,0,0,1,0,0,0,0,0,0,1.1428571428571428
46146,56,2500.0,0,0,1,0,0,0,0,0,0,1.4
46147,56,2500.0,0,0,1,0,0,0,0,0,0,1.4
46148,57,2500.0,0,0,1,0,0,0,0,0,0,1.2
46149,57,2500.0,0,0,1,0,0,0,0,0,0,1.2
46150,65,4800.0,0,0,1,0,0,0,0,0,0,1.0
46151,65,5000.0,0,0,1,0,0,0,0,0,0,1.0
46152,65,4800.0,0,0,1,0,0,0,0,0,0,1.0
46153,65,5000.0,0,0,1,0,0,0,0,0,0,1.0
46154,79,2100.0,0,0,1,0,0,0,0,0,0,1.3333333333333333
46155,79,3400.0,0,0,1,0,0,0,0,0,0,1.0
46156,79,2100.0,0,0,1,0,0,0,0,0,0,1.3333333333333333
46157,79,3400.0,0,0,1,0,0,0,0,0,0,1.0
46158,99,5500.0,0,0,1,0,0,0,0,0,0,1.4363636363636363
46159,99,2500.0,0,0,1,0,0,0,0,0,0,2.6
46160,99,5500.0,0,0,1,0,0,0,0,0,0,1.4363636363636363
46161,99,2500.0,0,0,1,0,0,0,0,0,0,2.6
46162,100,4500.0,0,0,1,0,0,0,0,0,0,1.2444444444444445
46163,100,4500.0,0,0,1,0,0,0,0,0,0,1.2444444444444445
46164,101,3600.0,0,0,1,0,0,0,0,0,0,1.0
46165,101,3600.0,0,0,1,0,0,0,0,0,0,1.0
46166,105,2500.0,0,0,1,0,0,0,0,0,0,2.6
46167,105,2500.0,0,0,1,0,0,0,0,0,0,2.6
46168,106,2500.0,0,0,1,0,0,0,0,0,0,1.14
46169,106,2200.0,0,0,1,0,0,0,0,0,0,1.0
46170,106,2500.0,0,0,1,0,0,0,0,0,0,1.14
46171,106,2200.0,0,0,1,0,0,0,0,0,0,1.0
46172,110,2500.0,0,0,1,0,0,0,0,0,0,2.776
46173,110,2500.0,0,0,1,0,0,0,0,0,0,2.776
46174,117,2500.0,0,0,1,0,0,0,0,0,0,3.2
46175,117,2500.0,0,0,1,0,0,0,0,0,0,1.2
46176,117,2500.0,0,0,1,0,0,0,0,0,0,3.2
46177,117,2500.0,0,0,1,0,0,0,0,0,0,1.2
46178,118,2800.0,0,0,1,0,0,0,0,0,0,1.0642857142857143
46179,118,2800.0,0,0,1,0,0,0,0,0,0,1.0642857142857143
46180,128,5000.0,0,0,1,0,0,0,0,0,0,1.13
46181,128,5000.0,0,0,1,0,0,0,0,0,0,1.13
46182,129,2500.0,0,0,1,0,0,0,0,0,0,1.0
46183,129,2500.0,0,0,1,0,0,0,0,0,0,1.0
46184,131,3000.0,0,0,1,0,0,0,0,0,0,1.6666666666666667
46185,131,3000.0,0,0,1,0,0,0,0,0,0,1.6666666666666667
46186,135,2300.0,0,0,1,0,0,0,0,0,0,1.0
46187,135,2300.0,0,0,1,0,0,0,0,0,0,1.0
46188,138,5500.0,0,0,1,0,0,0,0,0,0,1.0727272727272728
46189,138,5500.0,0,0,1,0,0,0,0,0,0,1.0727272727272728
46190,141,2550.0,0,0,1,0,0,0,0,0,0,1.1764705882352942
46191,141,2550.0,0,0,1,0,0,0,0,0,0,1.1764705882352942
46192,146,2000.0,0,0,1,0,0,0,0,0,0,1.25
46193,146,2000.0,0,0,1,0,0,0,0,0,0,1.25
46194,147,2900.0,0,0,1,0,0,0,0,0,0,1.0344827586206897
46195,147,2900.0,0,0,1,0,0,0,0,0,0,1.0344827586206897
46196,148,5000.0,0,0,1,0,0,0,0,0,0,1.0
46197,148,4500.0,0,0,1,0,0,0,0,0,0,1.4111111111111112
46198,148,5000.0,0,0,1,0,0,0,0,0,0,1.0
46199,148,4500.0,0,0,1,0,0,0,0,0,0,1.4111111111111112
46200,149,4800.0,0,0,1,0,0,0,0,0,0,6.229166666666667
46201,149,2500.0,0,0,1,0,0,0,0,0,0,1.0
46202,149,4800.0,0,0,1,0,0,0,0,0,0,6.229166666666667
46203,149,2500.0,0,0,1,0,0,0,0,0,0,1.0
46204,150,2500.0,0,0,1,0,0,0,0,0,0,1.0
